Concept,x,y,dragStart,dragStop,oldX,oldY
Fahrrad,730.0,25.0,19018,19863,627.0,25.0
Baum,922.0,259.0,1680,1876,56.0,52.0
Physik,229.0,362.0,2365,2545,52.0,49.0
Infrastruktur,586.0,418.0,2942,3249,48.0,46.0
Laub,578.0,111.0,3682,4723,44.0,43.0
Laub,920.0,173.0,5709,6688,578.0,111.0
Fahrrad,288.0,178.0,7717,8730,40.0,40.0
Physik,510.0,140.0,9446,11016,229.0,362.0
Physik,589.0,159.0,11846,12416,510.0,140.0
Infrastruktur,298.0,366.0,12700,14326,586.0,418.0
Infrastruktur,299.0,355.0,15128,15316,298.0,366.0
Infrastruktur,293.0,343.0,15989,16681,299.0,355.0
Erde,1043.0,153.0,1693,1942,56.0,52.0
Baum,536.0,493.0,2435,3143,52.0,49.0
Lehrer,547.0,207.0,3577,3797,48.0,46.0
Physik,709.0,216.0,4207,7850,44.0,43.0
Fahrrad,670.0,74.0,8818,10540,40.0,40.0
Lehrer,500.0,210.0,10765,10972,547.0,207.0
Fahrrad,626.0,70.0,11263,11591,670.0,74.0
Physik,744.0,192.0,11768,12169,709.0,216.0
Erde,791.0,606.0,12792,15147,1043.0,153.0
Baum,484.0,500.0,15529,16278,536.0,493.0
Physik,690.0,233.0,16591,17218,744.0,192.0
Erde,757.0,629.0,17961,18240,791.0,606.0
Schule,558.0,140.0,4434,5177,56.0,52.0
Ast,416.0,407.0,5848,6280,52.0,49.0
Physik,977.0,396.0,6927,7627,48.0,46.0
Fahrrad,213.0,67.0,14004,17354,40.0,40.0
Ast,272.0,586.0,20516,21592,416.0,407.0
Schule,528.0,158.0,23826,26971,558.0,140.0
Photosynthese,841.0,99.0,0,0,841.0,99.0
Fahrrad,902.0,480.0,3016,3858,56.0,52.0
Lehrer,617.0,636.0,4758,5451,52.0,49.0
Photosynthese,814.0,236.0,6639,7535,48.0,46.0
Baum,333.0,402.0,8505,9223,44.0,43.0
Erde,389.0,243.0,9810,12279,40.0,40.0
Fahrrad,280.0,654.0,13939,14814,902.0,480.0
Lehrer,838.0,387.0,15222,16164,617.0,636.0
Fahrrad,595.0,607.0,17120,21036,280.0,654.0
Erde,510.0,228.0,23221,24019,389.0,243.0
Baum,385.0,326.0,24525,25310,333.0,402.0
Erde,570.0,178.0,25762,26816,510.0,228.0
Baum,451.0,282.0,27432,27783,385.0,326.0
Lehrer,857.0,496.0,28596,30595,838.0,387.0
Erde,475.0,125.0,32613,33891,570.0,178.0
Baum,628.0,209.0,34281,35129,451.0,282.0
Erde,468.0,291.0,35685,36738,475.0,125.0
Fahrrad,597.0,593.0,38792,40712,595.0,607.0
Infrastruktur,790.0,142.0,2022,2427,56.0,52.0
Erde,611.0,237.0,3027,4151,52.0,49.0
Schule,778.0,472.0,4633,5258,48.0,46.0
Laub,310.0,585.0,5871,6362,44.0,43.0
Lehrer,924.0,475.0,6875,9526,40.0,40.0
Laub,480.0,304.0,10786,12461,310.0,585.0
Infrastruktur,887.0,290.0,14314,17751,790.0,142.0
Infrastruktur,841.0,302.0,20926,22600,887.0,290.0
Infrastruktur,833.0,262.0,23162,25095,841.0,302.0
Lehrer,812.0,647.0,25617,25856,924.0,475.0
Schule,900.0,489.0,26267,26677,778.0,472.0
Lehrer,733.0,492.0,27146,28031,812.0,647.0
Infrastruktur,845.0,263.0,28652,30832,833.0,262.0
Baum,809.0,257.0,1584,1867,56.0,52.0
Erde,810.0,503.0,2394,2930,52.0,49.0
Laub,1181.0,316.0,3516,4244,48.0,46.0
Ast,623.0,468.0,5318,5744,44.0,43.0
Fahrrad,572.0,240.0,6254,7486,40.0,40.0
Laub,947.0,257.0,8865,10480,1181.0,316.0
Erde,871.0,382.0,11059,11965,810.0,503.0
Ast,732.0,379.0,12577,13372,623.0,468.0
Erde,945.0,355.0,13692,15150,871.0,382.0
Ast,810.0,339.0,15646,20775,732.0,379.0
Erde,909.0,338.0,21264,23756,945.0,355.0
Laub,909.0,258.0,24177,25634,947.0,257.0
Fahrrad,1075.0,436.0,27439,35591,572.0,240.0
Fahrrad,1249.0,594.0,38428,38809,1075.0,436.0
Fahrrad,1054.0,440.0,39936,42555,1249.0,594.0
Laub,841.0,190.0,1575,1906,56.0,52.0
Baum,835.0,267.0,2372,3447,52.0,49.0
Baum,837.0,285.0,4183,4505,835.0,267.0
Infrastruktur,574.0,399.0,5126,5577,48.0,46.0
Lehrer,584.0,235.0,10764,11648,44.0,43.0
Physik,637.0,185.0,12089,14056,40.0,40.0
Lehrer,570.0,244.0,15220,16840,584.0,235.0
Infrastruktur,690.0,422.0,17372,18037,574.0,399.0
Infrastruktur,590.0,439.0,19875,20927,690.0,422.0
Laub,842.0,203.0,21824,22437,841.0,190.0
Laub,843.0,225.0,23541,23879,842.0,203.0
Baum,849.0,301.0,24749,28117,837.0,285.0
Baum,846.0,295.0,28516,28996,849.0,301.0
Ast,1099.0,311.0,1808,2156,56.0,52.0
Photosynthese,978.0,236.0,2818,3915,52.0,49.0
Physik,632.0,336.0,5087,6546,48.0,46.0
Erde,1214.0,364.0,7253,8659,44.0,43.0
Infrastruktur,716.0,455.0,10345,13050,40.0,40.0
Photosynthese,797.0,235.0,14193,15189,978.0,236.0
Erde,953.0,293.0,15721,16240,1214.0,364.0
Ast,886.0,392.0,16538,17404,1099.0,311.0
Erde,950.0,260.0,17949,18271,953.0,293.0
Photosynthese,818.0,264.0,18694,18888,797.0,235.0
Photosynthese,775.0,249.0,19907,21565,818.0,264.0
Infrastruktur,641.0,617.0,22112,22406,716.0,455.0
Infrastruktur,855.0,223.0,2049,2398,56.0,52.0
Erde,559.0,586.0,3160,3889,52.0,49.0
Laub,888.0,441.0,4692,5502,48.0,46.0
Schule,704.0,231.0,6818,7941,44.0,43.0
Photosynthese,417.0,451.0,8645,10769,40.0,40.0
Photosynthese,550.0,317.0,12701,13308,417.0,451.0
Photosynthese,527.0,339.0,13423,13937,550.0,317.0
Erde,605.0,468.0,14403,16992,559.0,586.0
Laub,450.0,424.0,18803,22208,888.0,441.0
Infrastruktur,834.0,299.0,28396,30269,855.0,223.0
Infrastruktur,860.0,348.0,33089,38069,834.0,299.0
Infrastruktur,871.0,353.0,39772,40164,860.0,348.0
Erde,819.0,296.0,3779,4102,56.0,52.0
Physik,617.0,482.0,4744,5190,52.0,49.0
Fahrrad,427.0,139.0,5982,7283,48.0,46.0
Baum,220.0,310.0,8095,8589,44.0,43.0
Lehrer,445.0,491.0,12307,24832,40.0,40.0
Erde,114.0,165.0,27067,27757,819.0,296.0
Fahrrad,549.0,311.0,28371,29040,427.0,139.0
Physik,478.0,616.0,29440,29658,617.0,482.0
Lehrer,687.0,512.0,30025,30351,445.0,491.0
Physik,507.0,529.0,30709,31300,478.0,616.0
Fahrrad,623.0,325.0,32003,32674,549.0,311.0
Erde,422.0,205.0,33871,34991,114.0,165.0
Schule,779.0,244.0,2004,2268,56.0,52.0
Erde,537.0,345.0,2760,3117,52.0,49.0
Lehrer,579.0,698.0,3742,4167,48.0,46.0
Laub,1399.0,389.0,4678,5557,44.0,43.0
Fahrrad,779.0,632.0,6722,8866,40.0,40.0
Schule,492.0,667.0,9303,10534,779.0,244.0
Laub,644.0,293.0,11652,13167,1399.0,389.0
Erde,716.0,371.0,13667,13919,537.0,345.0
Laub,545.0,304.0,14202,14480,644.0,293.0
Erde,647.0,323.0,14971,15315,716.0,371.0
Laub,568.0,266.0,15668,15979,545.0,304.0
Laub,589.0,241.0,16628,17040,568.0,266.0
Physik,903.0,151.0,2808,3404,56.0,52.0
Schule,1113.0,245.0,3911,4827,52.0,49.0
Fahrrad,468.0,452.0,5474,5770,48.0,46.0
Schule,950.0,233.0,7107,7593,1113.0,245.0
Ast,346.0,208.0,8447,9340,44.0,43.0
Laub,430.0,195.0,9931,10769,40.0,40.0
Fahrrad,767.0,362.0,11708,12571,468.0,452.0
Fahrrad,713.0,374.0,15576,15841,767.0,362.0
Baum,801.0,209.0,1610,1882,56.0,52.0
Laub,774.0,263.0,2320,3066,52.0,49.0
Laub,753.0,280.0,4151,4544,774.0,263.0
Physik,1035.0,392.0,5132,5848,48.0,46.0
Photosynthese,897.0,199.0,6502,7915,44.0,43.0
Photosynthese,837.0,274.0,8526,9895,897.0,199.0
Infrastruktur,842.0,506.0,11005,13722,40.0,40.0
Lehrer,56.0,52.0,5820,6026,56.0,52.0
Lehrer,632.0,280.0,13011,14723,56.0,52.0
Laub,358.0,35.0,21652,24062,52.0,49.0
Fahrrad,298.0,305.0,25099,26357,48.0,46.0
Ast,442.0,39.0,28306,30975,44.0,43.0
Physik,643.0,212.0,32440,34370,40.0,40.0
Ast,546.0,73.0,3314,4338,56.0,52.0
Laub,464.0,58.0,5715,6947,52.0,49.0
Photosynthese,384.0,42.0,8123,9552,48.0,46.0
Lehrer,392.0,325.0,10713,11682,44.0,43.0
Infrastruktur,149.0,244.0,13383,14442,40.0,40.0
Baum,636.0,55.0,2413,3233,56.0,52.0
Erde,482.0,308.0,4357,5128,52.0,49.0
Photosynthese,550.0,51.0,6377,7658,48.0,46.0
Physik,423.0,269.0,8905,9942,44.0,43.0
Fahrrad,193.0,113.0,11249,15817,40.0,40.0
Physik,596.0,51.0,2402,3184,56.0,52.0
Photosynthese,381.0,336.0,4126,4895,52.0,49.0
Erde,113.0,244.0,6041,6789,48.0,46.0
Fahrrad,499.0,63.0,7761,10400,44.0,43.0
Infrastruktur,425.0,34.0,11881,13309,40.0,40.0
Photosynthese,381.0,336.0,14419,15297,113.0,244.0
Fahrrad,643.0,40.0,3740,4474,56.0,52.0
Ast,447.0,321.0,5494,6183,52.0,49.0
Photosynthese,381.0,310.0,7661,8524,48.0,46.0
Schule,300.0,57.0,9685,12223,44.0,43.0
Infrastruktur,219.0,47.0,13732,15190,40.0,40.0
Fahrrad,386.0,45.0,18323,19658,643.0,40.0
Ast,721.0,42.0,4021,4860,56.0,52.0
Lehrer,323.0,360.0,6029,6761,52.0,49.0
Photosynthese,627.0,48.0,7841,10120,48.0,46.0
Laub,528.0,44.0,11375,12976,44.0,43.0
Physik,271.0,292.0,14144,15609,40.0,40.0
Ast,753.0,302.0,18663,19445,721.0,42.0
Laub,712.0,77.0,2197,2927,56.0,52.0
Baum,613.0,76.0,4169,5423,52.0,49.0
Lehrer,396.0,478.0,6308,7004,48.0,46.0
Ast,507.0,72.0,9144,10313,44.0,43.0
Schule,351.0,415.0,11465,13511,40.0,40.0
Ast,693.0,47.0,2744,3562,56.0,52.0
Laub,613.0,50.0,4679,6413,52.0,49.0
Lehrer,396.0,366.0,7421,8110,48.0,46.0
Erde,311.0,171.0,9133,9887,44.0,43.0
Fahrrad,55.0,40.0,13986,14326,40.0,40.0
Baum,556.0,87.0,2207,2996,56.0,52.0
Erde,307.0,387.0,4041,4860,52.0,49.0
Lehrer,795.0,328.0,6042,7740,48.0,46.0
Ast,477.0,84.0,9204,10191,44.0,43.0
Fahrrad,802.0,266.0,11557,13788,40.0,40.0
Baum,555.0,45.0,2338,2983,56.0,52.0
Schule,508.0,382.0,4557,5231,52.0,49.0
Infrastruktur,197.0,335.0,7029,7857,48.0,46.0
Lehrer,474.0,320.0,11099,12266,44.0,43.0
Physik,491.0,246.0,13477,14617,40.0,40.0
Laub,775.0,14.0,2038,2733,56.0,52.0
Erde,603.0,346.0,4185,4830,52.0,49.0
Baum,680.0,22.0,5964,8639,48.0,46.0
Schule,393.0,154.0,9756,11532,44.0,43.0
Photosynthese,581.0,32.0,13099,16159,40.0,40.0
Infrastruktur,426.0,74.0,11548,13528,56.0,52.0
Erde,230.0,224.0,14870,16030,52.0,49.0
Laub,72.0,217.0,17031,18075,48.0,46.0
Baum,237.0,11.0,19282,20119,44.0,43.0
Laub,72.0,217.0,33610,41030,237.0,11.0
Schule,65.0,127.0,43236,44227,40.0,40.0
Laub,71.0,253.0,45738,46585,72.0,217.0
Erde,285.0,13.0,49391,51978,230.0,224.0
Baum,208.0,142.0,4572,6999,56.0,52.0
Ast,86.0,198.0,8137,8954,52.0,49.0
Lehrer,402.0,89.0,9797,10344,48.0,46.0
Laub,73.0,336.0,11508,13662,44.0,43.0
Lehrer,402.0,89.0,14887,16496,40.0,40.0
Baum,89.0,177.0,17698,23666,208.0,142.0
Laub,149.0,203.0,26137,28118,73.0,336.0
Schule,413.0,61.0,0,0,413.0,61.0
Schule,368.0,122.0,3615,4520,56.0,52.0
Laub,66.0,240.0,5333,6304,52.0,49.0
Fahrrad,460.0,303.0,7291,8397,48.0,46.0
Erde,182.0,368.0,9180,11326,44.0,43.0
Schule,368.0,122.0,12522,13835,40.0,40.0
Laub,66.0,260.0,15479,17883,66.0,240.0
Fahrrad,460.0,303.0,20505,21316,460.0,303.0
Fahrrad,593.0,255.0,22468,23806,460.0,303.0
Physik,376.0,96.0,0,0,376.0,96.0
Laub,311.0,146.0,3391,4635,56.0,52.0
Ast,309.0,228.0,5247,8822,52.0,49.0
Physik,48.0,46.0,12279,12498,48.0,46.0
Physik,46.0,272.0,13364,14716,48.0,46.0
Photosynthese,450.0,56.0,16536,17677,44.0,43.0
Physik,545.0,59.0,21172,26300,46.0,272.0
Ast,305.0,202.0,28232,29047,309.0,228.0
Infrastruktur,40.0,40.0,0,0,40.0,40.0
Ast,347.0,142.0,2838,3563,56.0,52.0
Erde,106.0,289.0,4763,5859,52.0,49.0
Infrastruktur,560.0,97.0,6880,7760,48.0,46.0
Physik,413.0,420.0,9165,10566,44.0,43.0
Fahrrad,583.0,5.0,11919,16988,40.0,40.0
Ast,347.0,142.0,19723,20354,347.0,142.0
Erde,635.0,228.0,21450,22936,106.0,289.0
Physik,301.0,312.0,25164,26207,413.0,420.0
Physik,699.0,9.0,29074,31353,301.0,312.0
Ast,384.0,208.0,3256,3995,56.0,52.0
Baum,119.0,309.0,4797,5587,52.0,49.0
Photosynthese,472.0,93.0,6728,7537,48.0,46.0
Lehrer,255.0,322.0,8432,9635,44.0,43.0
Infrastruktur,40.0,40.0,8432,11273,44.0,43.0
Infrastruktur,38.0,77.0,11716,12385,40.0,40.0
Baum,459.0,204.0,14410,16257,119.0,309.0
Lehrer,307.0,322.0,20271,21306,255.0,322.0
Infrastruktur,146.0,143.0,22164,23392,38.0,77.0
Laub,476.0,148.0,3003,3514,56.0,52.0
Ast,505.0,75.0,4363,7070,52.0,49.0
Schule,115.0,190.0,7883,8919,48.0,46.0
Ast,505.0,75.0,10774,12382,44.0,43.0
Schule,115.0,190.0,13936,17588,40.0,40.0
Lehrer,129.0,237.0,0,0,129.0,237.0
Baum,503.0,31.0,0,0,503.0,31.0
Infrastruktur,433.0,80.0,2532,3255,56.0,52.0
Schule,205.0,274.0,3800,4904,52.0,49.0
Lehrer,651.0,91.0,5808,6538,48.0,46.0
Laub,52.0,287.0,7270,8083,44.0,43.0
Lehrer,651.0,91.0,10388,11979,40.0,40.0
Infrastruktur,531.0,88.0,12723,14066,433.0,80.0
Schule,668.0,139.0,15227,17039,205.0,274.0
Laub,288.0,323.0,18249,19104,52.0,287.0
Physik,660.0,66.0,0,0,660.0,66.0
Laub,384.0,159.0,2681,3112,56.0,52.0
Baum,150.0,211.0,3752,4608,52.0,49.0
Infrastruktur,462.0,66.0,5501,5911,48.0,46.0
Lehrer,46.0,294.0,6633,7408,44.0,43.0
Baum,377.0,213.0,10069,11083,150.0,211.0
Infrastruktur,605.0,84.0,12846,13153,462.0,66.0
Baum,380.0,265.0,15496,16626,377.0,213.0
Physik,65.0,228.0,18316,19764,40.0,40.0
Ast,501.0,100.0,2551,3169,56.0,52.0
Schule,245.0,205.0,3817,4556,52.0,49.0
Physik,249.0,168.0,5364,7266,48.0,46.0
Schule,245.0,205.0,8091,11384,44.0,43.0
Fahrrad,866.0,267.0,12463,14614,40.0,40.0
Photosynthese,250.0,263.0,0,0,250.0,263.0
Physik,363.0,197.0,2670,3078,56.0,52.0
Ast,119.0,311.0,3842,4318,52.0,49.0
Photosynthese,508.0,59.0,5691,6273,48.0,46.0
Lehrer,100.0,123.0,7211,8286,44.0,43.0
Lehrer,279.0,76.0,9015,10182,100.0,123.0
Physik,363.0,197.0,12571,13944,279.0,76.0
Photosynthese,368.0,54.0,15533,16938,508.0,59.0
Fahrrad,147.0,90.0,18470,19132,40.0,40.0
Ast,140.0,455.0,20702,21258,119.0,311.0
Ast,184.0,480.0,22376,24978,140.0,455.0
